CHANNEL,DATE TIME,HOUR,EVENT
Rai 3,03-06-2023,00:00,TG3 Linea notte
Rai 3,03-06-2023,01:00,Meteo 3
Rai 3,03-06-2023,01:05,TG3 Chi è di scena
Rai 3,03-06-2023,01:20,Parlamento Magazine
Rai 3,03-06-2023,01:30,Appuntamento al cinema
Rai 3,03-06-2023,01:35,Fuori Orario. Cose (mai) viste
Rai 3,03-06-2023,01:45,Notturno (di Gianfranco Rosi)
Rai 3,03-06-2023,03:30,I sogni del Lago Salato
Rai 3,03-06-2023,04:40,Fuori Orario. Cose (mai) viste
Rai 3,03-06-2023,06:00,RaiNews24
Rai 3,03-06-2023,08:00,Agorà weekend - Puntata del 03/06/2023
Rai 3,03-06-2023,09:00,Mi manda Raitre - Puntata del 03/06/2023
Rai 3,03-06-2023,10:15,Punto Europa
Rai 3,03-06-2023,10:45,Geo Documentario
Rai 3,03-06-2023,11:10,Storia delle nostre città - Cremona - 13/02/2023
Rai 3,03-06-2023,12:00,TG3
Rai 3,03-06-2023,12:22,TG3 persone
Rai 3,03-06-2023,12:25,TGR Il Settimanale Estate
Rai 3,03-06-2023,13:00,Geo Documentario
Rai 3,03-06-2023,14:00,TG Regione
Rai 3,03-06-2023,14:19,TG Regione Meteo
Rai 3,03-06-2023,14:20,TG3
Rai 3,03-06-2023,14:45,TG3 Pixel
Rai 3,03-06-2023,14:49,Meteo 3
Rai 3,03-06-2023,14:55,TG3 L.I.S.
Rai 3,03-06-2023,15:00,Gli Imperdibili
Rai 3,03-06-2023,15:05,Papa Giovanni - Ioannes XXIII
Rai 3,03-06-2023,17:05,Report - Puntata del 29/05/2023
Rai 3,03-06-2023,19:00,TG3
Rai 3,03-06-2023,19:30,TG Regione
Rai 3,03-06-2023,19:51,TG Regione Meteo
Rai 3,03-06-2023,20:00,Blob - Puntata del 03/06/2023
Rai 3,03-06-2023,20:25,Il meglio di Generazione Bellezza - 03/02/2022
Rai 3,03-06-2023,21:30,L'amica geniale S1E1 - Le bambole
Rai 3,03-06-2023,22:30,L'amica geniale S1E2 - I soldi
Rai 3,03-06-2023,23:35,TG3 Mondo
