CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,05-06-2023,00:30,La via del West
Rai Movie,05-06-2023,02:40,La tenda rossa
Rai Movie,05-06-2023,05:00,Bernie il delfino
Rai Movie,05-06-2023,06:25,Ulisse
Rai Movie,05-06-2023,08:20,Anica - Appuntamento al cinema
Rai Movie,05-06-2023,08:25,Poveri ma belli
Rai Movie,05-06-2023,10:15,Storia di noi due
Rai Movie,05-06-2023,11:45,La via del West
Rai Movie,05-06-2023,14:00,Tutto per tutto
Rai Movie,05-06-2023,15:40,Da uomo a uomo
Rai Movie,05-06-2023,17:45,I due violenti
Rai Movie,05-06-2023,19:15,Al bar dello sport
Rai Movie,05-06-2023,21:10,Il meraviglioso paese
Rai Movie,05-06-2023,22:55,Barquero
