CHANNEL,DATE TIME,HOUR,EVENT
Rai News 24,08-06-2023,00:00,NEWS
Rai News 24,08-06-2023,00:30,RASSEGNA STAMPA
Rai News 24,08-06-2023,01:00,NEWS
Rai News 24,08-06-2023,01:30,NEWS
Rai News 24,08-06-2023,01:45,AMARCORD
Rai News 24,08-06-2023,02:00,RASSEGNA STAMPA
Rai News 24,08-06-2023,02:30,NEWS
Rai News 24,08-06-2023,02:45,FOCUS 24
Rai News 24,08-06-2023,03:00,NEWS+ RASSEGNA STAMPA
Rai News 24,08-06-2023,03:30,NEWS
Rai News 24,08-06-2023,03:45,FOCUS 24
Rai News 24,08-06-2023,04:00,NEWS + RASSEGNA STAMPA
Rai News 24,08-06-2023,04:30,FOCUS 24
Rai News 24,08-06-2023,04:45,BASTA LA SALUTE
Rai News 24,08-06-2023,05:00,NEWS + RASSEGNA STAMPA
Rai News 24,08-06-2023,05:30,NEWS + RASSEGNA STAMPA
Rai News 24,08-06-2023,06:00,MATTINA 24
Rai News 24,08-06-2023,06:23,PRIME PAGINE
Rai News 24,08-06-2023,06:27,METEO SHOW
Rai News 24,08-06-2023,06:30,MATTINA 24
Rai News 24,08-06-2023,06:58,CCISS
Rai News 24,08-06-2023,07:00,RASSEGNA STAMPA TITOLI QUOTIDIANI
Rai News 24,08-06-2023,07:03,RASSEGNA STAMPA
Rai News 24,08-06-2023,07:30,FINESTRA SULL' ITALIA
Rai News 24,08-06-2023,07:42,RASSEGNA STAMPA ESTERA
Rai News 24,08-06-2023,07:54,METEO SHOW
Rai News 24,08-06-2023,08:00,NEWS
Rai News 24,08-06-2023,08:26,CISS
Rai News 24,08-06-2023,08:30,RASSEGNA STAMPA
Rai News 24,08-06-2023,08:55,METEO SHOW
Rai News 24,08-06-2023,09:00,NEWS + TITOLI
Rai News 24,08-06-2023,09:27,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,08-06-2023,09:30,CRONACHE DALL'ITALIA
Rai News 24,08-06-2023,09:45,FILO DIRETTO
Rai News 24,08-06-2023,10:00,FILO DIRETTO
Rai News 24,08-06-2023,10:30,FILO DIRETTO
Rai News 24,08-06-2023,11:00,TG LIS + NEWS
Rai News 24,08-06-2023,11:30,NEWS
Rai News 24,08-06-2023,11:45,FOCUS 24
Rai News 24,08-06-2023,12:00,NEWS
Rai News 24,08-06-2023,12:30,NEWS SOMMARIO
Rai News 24,08-06-2023,12:33,SPORT 24
Rai News 24,08-06-2023,12:57,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,08-06-2023,13:00,NEWS + TITOLI
Rai News 24,08-06-2023,13:30,NEWS
Rai News 24,08-06-2023,13:45,SAPORI E COLORI
Rai News 24,08-06-2023,14:00,NEWS + TITOLI
Rai News 24,08-06-2023,14:23,POP CORN
Rai News 24,08-06-2023,14:30,POMERIGGIO 24
Rai News 24,08-06-2023,15:00,TG IN LINGUA UCRAINA
Rai News 24,08-06-2023,15:05,POMERIGGIO 24
Rai News 24,08-06-2023,15:30,POMERIGGIO 24
Rai News 24,08-06-2023,15:57,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,08-06-2023,16:00,NEWS + TITOLI
Rai News 24,08-06-2023,16:26,CCISS
Rai News 24,08-06-2023,16:30,NEWS
Rai News 24,08-06-2023,16:45,AMARCORD
Rai News 24,08-06-2023,17:00,NEWS + TITOLI
Rai News 24,08-06-2023,17:30,ECONOMIA 24
Rai News 24,08-06-2023,18:00,NEWS
Rai News 24,08-06-2023,18:30,IN UN'ORA
Rai News 24,08-06-2023,19:00,IN UN'ORA
Rai News 24,08-06-2023,19:30,NEWS
Rai News 24,08-06-2023,19:33,SPORT 24
Rai News 24,08-06-2023,19:43,FOCUS 24
Rai News 24,08-06-2023,20:00,TG LIS + NEWS
Rai News 24,08-06-2023,20:30,BASTA LA SALUTE
Rai News 24,08-06-2023,21:00,NEWS + TITOLI
Rai News 24,08-06-2023,21:30,CHECK POINT
Rai News 24,08-06-2023,22:00,NEWS
Rai News 24,08-06-2023,22:30,FOCUS 24
Rai News 24,08-06-2023,22:45,ANTEPRIMA RASSEGNA STAMPA
Rai News 24,08-06-2023,23:00,RASSEGNA STAMPA
Rai News 24,08-06-2023,23:30,RASSEGNA STAMPA
Rai News 24,08-06-2023,23:53,POP CORN
