CHANNEL,DATE TIME,HOUR,EVENT
Rai Premium,04-06-2023,00:05,Vivere non è un gioco da ragazzi - S1E6
Rai Premium,04-06-2023,00:55,Il Commissario Nardone S1E11 - Il gatto e il topo - Parte 1
Rai Premium,04-06-2023,01:50,Il Commissario Nardone S1E12 - Il gatto e il topo - Parte 2
Rai Premium,04-06-2023,02:40,Allora in onda - E le stelle stanno a guardare
Rai Premium,04-06-2023,03:20,Un caso di coscienza - S2E1 - Legittima difesa
Rai Premium,04-06-2023,05:00,Piloti
Rai Premium,04-06-2023,05:20,L'Ispettore Sarti - S1E2 - A scuola con il killer
Rai Premium,04-06-2023,06:15,Butta la Luna - S2E11 - Episodio 11
Rai Premium,04-06-2023,08:00,Butta la Luna - S2E12 - Episodio 12
Rai Premium,04-06-2023,09:45,Butta la Luna - S2E13 - Episodio 13
Rai Premium,04-06-2023,11:30,Màkari - S1E1 - I colpevoli sono matti
Rai Premium,04-06-2023,13:25,Màkari - S1E2 - La regola dello svantaggio
Rai Premium,04-06-2023,15:35,Anica Appuntamento al Cinema
Rai Premium,04-06-2023,15:40,Un'estate a Maiorca
Rai Premium,04-06-2023,17:15,La strada dritta - 1^ Parte
Rai Premium,04-06-2023,19:10,La strada dritta - 2^ Parte
Rai Premium,04-06-2023,21:20,Una serata tra amici 
Rai Premium,04-06-2023,23:45,La mafia uccide solo d'estate  - La serie S1E7
