CHANNEL,DATE TIME,HOUR,EVENT
Rai Storia,07-06-2023,00:00,Rai News Notte
Rai Storia,07-06-2023,00:05,Il giorno e la storia
Rai Storia,07-06-2023,00:25,Alla scoperta del ramo d'oro - Elisabetta Rasy - Puntata del 06/06/2023
Rai Storia,07-06-2023,01:05,Passato e Presente - Lo sbarco in Normandia
Rai Storia,07-06-2023,01:45,Italiani Nino Manfredi
Rai Storia,07-06-2023,02:45,La lotta dell'uomo per la sopravvivenza. Un'arte nuova in un mondo di macchine. p. 11
Rai Storia,07-06-2023,03:35,Gli etruschi attraverso Villa Giulia: La società e il culto dei morti
Rai Storia,07-06-2023,03:45,La pace perduta. Il mondo nuovo è una realtà prossima
Rai Storia,07-06-2023,04:35,"Roma, A.D. 1960 p.3. Dolce Roma Dolce vita"
Rai Storia,07-06-2023,05:30,Il giorno e la storia
Rai Storia,07-06-2023,06:00,Passato e Presente - Lo sbarco in Normandia
Rai Storia,07-06-2023,06:40,Italia viaggio nella bellezza - Leonessa d'Italia. Il Museo del Risorgimento di Brescia  - 05/06/2023
Rai Storia,07-06-2023,07:40,Storia delle nostre città - Bari. La porta d'Oriente - 07/03/2022
Rai Storia,07-06-2023,08:30,Il giorno e la storia
Rai Storia,07-06-2023,08:50,Passato e Presente - Lo sbarco in Normandia
Rai Storia,07-06-2023,09:30,5000 anni e + La lunga storia dell'umanità - Odissea. Il mare del mito
Rai Storia,07-06-2023,10:30,Sciuscià 70
Rai Storia,07-06-2023,11:30,Storie benemerite - Portatori di pace nel mondo
Rai Storia,07-06-2023,11:35,Il giorno e la storia
Rai Storia,07-06-2023,12:00,Viaggio in Europa. DDa Velden alla città della birra
Rai Storia,07-06-2023,13:00,"Roma, A.D.1960 p.4. Italiani"
Rai Storia,07-06-2023,13:55,Storie benemerite - Portatori di pace nel mondo
Rai Storia,07-06-2023,14:00,Il giorno e la storia
Rai Storia,07-06-2023,14:20,Passato e Presente - Lo sbarco in Normandia
Rai Storia,07-06-2023,15:00,1943 - La resistenza a Cefalonia e Corfù 
Rai Storia,07-06-2023,16:25,'14-'18 Storie della Grande Guerra- Ripensare la Grande Guerra
Rai Storia,07-06-2023,17:00,"La lotta dell'uomo per la sopravvivenza. Nonostante tutto, ancora più lontano. p. 12"
Rai Storia,07-06-2023,17:45,Gli Etruschi attraverso Villa Giulia: Lo scontro con Roma
Rai Storia,07-06-2023,18:00,Alla scoperta del ramo d'oro - Anna Cereseto - Puntata del 07/06/2023
Rai Storia,07-06-2023,18:40,"La pace perduta. Ragazzi, siete stati traditi"
Rai Storia,07-06-2023,19:30,Rai News Giorno
Rai Storia,07-06-2023,19:35,Spie - Mario Carletti
Rai Storia,07-06-2023,20:05,Storie benemerite - Portatori di pace nel mondo
Rai Storia,07-06-2023,20:10,Il giorno e la storia
Rai Storia,07-06-2023,20:30,Passato e Presente - Lincoln e l'abolizione della schiavitù
Rai Storia,07-06-2023,21:10,Mixer – Vent'anni di televisione - Puntata del 25/05/2023
Rai Storia,07-06-2023,21:55,1939-1945. La II Guerra Mondiale - L'Europa alla vigilia della Seconda Guerra Mondiale
Rai Storia,07-06-2023,22:45,"Italiani - Pippo Baudo, la cultura si fa spettacolo"
Rai Storia,07-06-2023,23:45,Il piano Marshall
