CHANNEL,DATE TIME,HOUR,EVENT
Rai Yoyo,03-06-2023,00:05,Lupo - S2E35 - Il lupo che non voleva più avere paura dei rospi
Rai Yoyo,03-06-2023,00:10,Lupo - S2E36 - Il lupo che non voleva avere le pulci
Rai Yoyo,03-06-2023,00:20,Gli Acchiappagiochi - S1E30 - Chi è il capo?
Rai Yoyo,03-06-2023,00:25,Gli Acchiappagiochi - S1E31 - La conchiglia dispettosa
Rai Yoyo,03-06-2023,00:35,Pablo - S2E5 - Il Serpente a Numeri
Rai Yoyo,03-06-2023,00:45,Pablo - S2E6 - Tra le nuvole
Rai Yoyo,03-06-2023,01:00,Leo e Tig – S2E5 - Il fiore di pietra
Rai Yoyo,03-06-2023,01:10,Leo e Tig – S2E6 - Il canguro degli alberi
Rai Yoyo,03-06-2023,01:15,La Melevisione 2007 - E19
Rai Yoyo,03-06-2023,01:40,Moominvalley - S1E13 - L'antenato d'inverno
Rai Yoyo,03-06-2023,02:00,Molang - S5E50 - Nella pancia della balena
Rai Yoyo,03-06-2023,02:05,Molang - S5E51 - Il genio
Rai Yoyo,03-06-2023,02:10,Molang - S5E52 - L'altra tribù
Rai Yoyo,03-06-2023,02:20,Molang - S5E1 - La successione
Rai Yoyo,03-06-2023,02:25,Molang - S5E2 - La vita è bella
Rai Yoyo,03-06-2023,02:30,PJ Masks - S4E27 - Il Dragone Di Monky Gu
Rai Yoyo,03-06-2023,02:45,PJ Masks - S4E28 - Geko riconquista Lyonel
Rai Yoyo,03-06-2023,02:55,PJ Masks - S4E29 - Octobella
Rai Yoyo,03-06-2023,03:10,PJ Masks - S4E30 - Pericolo Octobella
Rai Yoyo,03-06-2023,03:20,Peppa Pig - S2E33
Rai Yoyo,03-06-2023,03:25,Peppa Pig - S2E34
Rai Yoyo,03-06-2023,03:30,Peppa Pig - S2E35
Rai Yoyo,03-06-2023,03:35,Ape Maia 3D - S1E46 - Campioni a 4 ali
Rai Yoyo,03-06-2023,03:50,Ape Maia 3D - S1E47 - Lo scettro della regina
Rai Yoyo,03-06-2023,04:00,Ape Maia 3D - S1E48 - Lotta tra giganti
Rai Yoyo,03-06-2023,04:10,Pip and Posy - S1E9 - La terribile Kriumska
Rai Yoyo,03-06-2023,04:20,Pip and Posy - S1E10 - La mega tana
Rai Yoyo,03-06-2023,04:25,Pip and Posy - S1E11 - Tenere o lasciare
Rai Yoyo,03-06-2023,04:35,"Pip and Posy - S1E12 - Ops, Froggy!"
Rai Yoyo,03-06-2023,04:40,Moominvalley - S3E3 - Campeggio con… Brio
Rai Yoyo,03-06-2023,05:00,Shaun vita da pecora - S4E26 - Il ritratto perfetto
Rai Yoyo,03-06-2023,05:10,Shaun vita da pecora - S4E27 - Salviamo i rifiuti
Rai Yoyo,03-06-2023,05:15,Shaun vita da pecora - S4E28 - Il cacciatore di frodo
Rai Yoyo,03-06-2023,05:25,Molang - S5E31 - 20000 rifiuti sotto il mare  
Rai Yoyo,03-06-2023,05:30,Molang - S5E32 - Un amore da favola
Rai Yoyo,03-06-2023,05:35,Winx Club - S4E16 - Un mondo virtuale
Rai Yoyo,03-06-2023,06:00,Il giorno in cui Henry incontrò... - S1E7 - Una statua!
Rai Yoyo,03-06-2023,06:05,Il giorno in cui Henry incontrò... - S1E8 - Un orologio!
Rai Yoyo,03-06-2023,06:10,Il giorno in cui Henry incontrò... - S1E9 - Un gommone!
Rai Yoyo,03-06-2023,06:15,Il giorno in cui Henry incontrò... - S1E10 - Una lettera!
Rai Yoyo,03-06-2023,06:20,Il giorno in cui Henry incontrò... - S1E11 - Un panda!
Rai Yoyo,03-06-2023,06:25,Il giorno in cui Henry incontrò... - S1E12 - Un palloncino!
Rai Yoyo,03-06-2023,06:30,Shaun vita da pecora - S5E3 - Guerre di territorio
Rai Yoyo,03-06-2023,06:35,Shaun vita da pecora - S5E4 - Un problema spinoso
Rai Yoyo,03-06-2023,06:45,Shaun vita da pecora - S5E5 - Ricercato
Rai Yoyo,03-06-2023,06:50,Shaun vita da pecora - S5E6 - Che maleducato!
Rai Yoyo,03-06-2023,07:00,Bing - S4E18 - Incidenti
Rai Yoyo,03-06-2023,07:05,Bing - S4E19 - Il teatrino
Rai Yoyo,03-06-2023,07:10,Bing - S4E20 - Dire la verità
Rai Yoyo,03-06-2023,07:20,Bing - S4E21 - Il salvataggio
Rai Yoyo,03-06-2023,07:25,Bumbi - S2E31 - I calzini del canguro
Rai Yoyo,03-06-2023,07:40,Masha e Orso - S5E13 - Chi è il capo?
Rai Yoyo,03-06-2023,07:45,Masha e Orso - S5E14 - Pasta la vista
Rai Yoyo,03-06-2023,07:50,"Masha e Orso - S5E15 - Ah, l'amore, l'amore!"
Rai Yoyo,03-06-2023,08:00,Bluey - S1E13 - Il gioco delle spie
Rai Yoyo,03-06-2023,08:05,Bluey - S1E14 - Takeaway
Rai Yoyo,03-06-2023,08:15,Bluey - S1E15 - Farfalle
Rai Yoyo,03-06-2023,08:20,Bluey - S1E16 - Palla da Yoga
Rai Yoyo,03-06-2023,08:30,Nina & Olga - S1E41 - Un entusiasmo esagerato
Rai Yoyo,03-06-2023,08:35,Nina & Olga - S1E42 - Il sogno di Olga
Rai Yoyo,03-06-2023,08:45,Super Papà - S1E11 - Il detective
Rai Yoyo,03-06-2023,08:50,Super Papà - S1E12 - Lo spazzolino da denti
Rai Yoyo,03-06-2023,08:55,Super Papà - S1E13 - Il peluche
